Bond_ID         l0         kb
    811   0.712363   1.184812
    812   1.254750   0.892733
    813   0.805202   1.114417
    814   0.466390   1.464284
    815   0.533916   1.368559
    816   0.541253   1.359251
    817   0.812475   1.109418
    818   0.254183   1.983476
    819   0.296636   1.836064
    820   1.612852   0.787413
    821   0.645177   1.244975
    822   1.238971   0.898399
    823   0.693349   1.200948
    824   0.584191   1.308346
    825   0.506386   1.405267
    826   0.470620   1.457689
    827   0.433892   1.518131
    828   0.515487   1.392808
    829   1.162497   0.927479
    830   0.321512   1.763605
    831   0.373328   1.636645
    832   0.984676   1.007751
    833   1.034567   0.983152
    834   0.325269   1.753390
    835   0.498320   1.416595
    836   2.053951   0.697758
    837   1.523518   0.810170
    838   0.716548   1.181346
    839   0.468597   1.460832
    840   0.460976   1.472858
    841   0.343351   1.706597
    842   0.963259   1.018893
    843   0.538006   1.363347
    844   1.541700   0.805379
    845   0.530067   1.373518
    846   0.612341   1.277919
    847   0.333373   1.731947
    848   0.899960   1.054116
    849   0.478586   1.445506
    850   0.961150   1.020010
    851   0.427236   1.529910
    852   1.288549   0.880947
    853   0.446048   1.497302
    854   0.737607   1.164360
    855   0.712700   1.184531
    856   0.531439   1.371744
    857   0.521353   1.384949
    858   0.530879   1.372468
    859   0.258918   1.965257
    860   0.615260   1.274884
    861   0.629720   1.260161
    862   0.271506   1.919155
    863   0.573866   1.320063
    864   0.496188   1.419635
    865   0.469460   1.459488
    866   0.662049   1.229009
    867   0.454973   1.482543
    868   0.539859   1.361006
    869   0.351568   1.686534
    870   1.905174   0.724490
    871   0.951990   1.024905
    872   0.849882   1.084728
    873   0.647461   1.242777
    874   0.402389   1.576438
    875   1.438318   0.833821
    876   0.707617   1.188779
    877   1.048692   0.976509
    878   0.278696   1.894237
    879   0.360736   1.664965
    880   0.467790   1.462092
    881   0.913717   1.046150
    882   0.355334   1.677574
    883   2.434296   0.640934
    884   0.673100   1.218878
    885   0.927373   1.038419
    886   0.694252   1.200167
    887   1.761058   0.753552
    888   0.550798   1.347422
    889   0.828247   1.098804
    890   0.718023   1.180133
    891   0.496229   1.419577
    892   0.921770   1.041570
    893   1.015432   0.992372
    894   0.661214   1.229784
    895   0.951570   1.025132
    896   0.745433   1.158232
    897   0.795622   1.121106
    898   0.585025   1.307412
    899   0.474100   1.452330
    900   0.701523   1.193931
    901   0.730144   1.170296
    902   0.679896   1.212771
    903   0.779037   1.132977
    904   1.385787   0.849477
    905   0.265642   1.940222
    906   0.824137   1.101540
    907   0.649558   1.240770
    908   0.791881   1.123751
    909   0.238622   2.047127
    910   0.781430   1.131240
    911   0.964332   1.018326
    912   0.700612   1.194707
    913   0.487704   1.431930
    914   0.308263   1.801105
    915   0.567841   1.327048
    916   0.492775   1.424544
    917   1.336660   0.864947
    918   0.899773   1.054226
    919   0.523098   1.382638
    920   0.591942   1.299752
    921   0.758789   1.147994
    922   0.399001   1.583117
    923   0.417352   1.547922
    924   0.516706   1.391163
    925   0.571363   1.322951
    926   0.366438   1.651961
    927   0.682667   1.210307
    928   0.451829   1.487691
    929   1.244759   0.896308
    930   0.844449   1.088211
    931   0.725655   1.173910
    932   0.348227   1.694605
    933   0.223429   2.115582
    934   0.507826   1.403274
    935   0.341382   1.711510
    936   0.502208   1.411101
    937   1.078705   0.962828
    938   0.563211   1.332491
    939   0.678239   1.214252
    940   1.646998   0.779208
    941   1.223177   0.904181
    942   0.321373   1.763986
    943   0.534861   1.367349
    944   0.512016   1.397521
    945   0.453659   1.484689
    946   0.952344   1.024715
    947   1.399175   0.845403
    948   0.655270   1.235349
    949   0.832613   1.095919
    950   0.594171   1.297312
    951   0.774482   1.136303
    952   1.145556   0.934312
    953   0.389292   1.602737
    954   0.519685   1.387171
    955   0.751535   1.153520
    956   0.486565   1.433605
    957   1.327793   0.867830
    958   0.816869   1.106429
    959   0.279325   1.892104
    960   0.907736   1.049591
    961   1.264833   0.889167
    962   0.765204   1.143172
    963   0.567841   1.327048
    964   1.425864   0.837454
    965   0.505157   1.406977
    966   1.372818   0.853480
    967   0.664866   1.226402
    968   0.556883   1.340041
    969   0.683148   1.209881
    970   0.988689   1.005704
    971   1.110028   0.949146
    972   1.299705   0.877158
    973   0.520770   1.385724
    974   0.737003   1.164838
    975   0.297420   1.833643
    976   0.314746   1.782461
    977   0.238624   2.047120
    978   1.025915   0.987289
    979   0.778479   1.133383
    980   2.272810   0.663313
    981   1.216957   0.906489
    982   0.544388   1.355332
    983   0.855663   1.081057
    984   0.361188   1.663923
    985   1.025128   0.987668
    986   1.245211   0.896145
    987   1.258453   0.891418
    988   0.602446   1.288371
    989   0.868919   1.072779
    990   0.679851   1.212811
    991   0.322239   1.761616
    992   1.018144   0.991050
    993   1.044306   0.978557
    994   0.483495   1.438150
    995   0.387409   1.606627
    996   0.239282   2.044303
    997   0.607174   1.283345
    998   0.763635   1.144345
    999   1.145936   0.934157
   1000   0.985383   1.007390
   1001   0.914524   1.045689
   1002   1.190825   0.916381
   1003   0.527757   1.376521
   1004   0.456325   1.480345
   1005   0.555503   1.341704
   1006   2.567732   0.624058
   1007   0.523559   1.382029
   1008   1.126958   0.941990
   1009   0.669913   1.221773
   1010   0.460211   1.474081
   1011   0.584328   1.308192
   1012   1.388585   0.848621
   1013   1.276197   0.885199
   1014   1.136851   0.937882
   1015   0.877573   1.067477
   1016   0.764884   1.143411
   1017   0.427186   1.530000
   1018   0.405165   1.571029
   1019   0.396212   1.588680
   1020   0.624512   1.265406
   1021   0.542703   1.357435
   1022   0.763734   1.144271
   1023   1.616561   0.786509
   1024   0.403576   1.574117
   1025   0.950128   1.025909
   1026   0.666787   1.224634
   1027   0.483538   1.438085
   1028   0.710095   1.186702
   1029   0.804814   1.114685
   1030   0.910250   1.048141
   1031   1.038844   0.981126
   1032   0.577009   1.316463
   1033   2.121503   0.686560
   1034   0.488531   1.430718
   1035   0.488805   1.430317
   1036   0.740148   1.162360
   1037   0.493975   1.422812
   1038   1.181355   0.920047
   1039   0.615160   1.274987
   1040   0.680422   1.212302
   1041   0.586407   1.305871
   1042   1.362464   0.856717
   1043   0.479885   1.443549
   1044   0.376842   1.628998
   1045   0.609498   1.280896
   1046   1.576600   0.796415
   1047   0.409229   1.563208
   1048   0.449843   1.490972
   1049   0.597448   1.293749
   1050   1.057881   0.972258
   1051   0.561533   1.334481
   1052   0.551484   1.346584
   1053   0.589085   1.302900
   1054   0.265033   1.942450
   1055   0.729709   1.170645
   1056   0.634048   1.255853
   1057   0.694504   1.199949
   1058   0.373111   1.637122
   1059   0.608202   1.282260
   1060   0.916970   1.044293
   1061   1.232049   0.900919
   1062   0.290956   1.853900
   1063   0.710390   1.186456
   1064   0.822776   1.102451
   1065   0.981258   1.009505
   1066   1.012625   0.993746
